Num. Cliente,Producto,Punto de venta,Día,Hora,Articulos,Precio,Empresa,Categoria,Historial Crediticio
5432,Tarjeta de crédito,Mercado Libre 558,06/18/2024,01:28:27,Artículo 39,"$6,173.00",Mercado Libre,Restaurant,737
5432,Tarjeta de débito,Uber Eats 181,06/05/2024,18:32:06,Artículo 45,"$8,908.00",Uber Eats,E-commerce,737
7555,Afore,NA,06/25/2024,22:55:07,NA,"$4,245.00",Banorte,Sector Financiero,659
9876,Fondos de Inversión,NA,06/20/2024,02:53:14,NA,"$5,519.00",Banorte,Sector Financiero,591
9980,Afore,NA,06/24/2024,15:37:03,NA,"$2,598.00",Banorte,Sector Financiero,501
9876,Afore,NA,06/09/2024,16:25:05,NA,"$9,839.00",Banorte,Sector Financiero,591
5231,Tarjeta de débito,iShop 422,06/08/2024,18:20:18,Artículo 48,$434.00,iShop,Tecnología,406
6478,Afore,NA,06/09/2024,07:10:02,NA,"$2,564.00",Banorte,Sector Financiero,611
9876,Tarjeta de crédito,Oxxo 32,06/20/2024,12:42:31,Artículo 11,"$5,756.00",Oxxo,E-commerce,591
5432,Afore,NA,06/11/2024,20:57:04,NA,"$1,561.00",Banorte,Sector Financiero,737
8765,Tarjeta de crédito,Amazon 248,06/20/2024,23:59:09,Artículo 37,$416.00,Amazon,Electronics,480
7555,Afore,NA,07/01/2024,11:27:25,NA,"$6,511.00",Banorte,Sector Financiero,659
8765,Fondos de Inversión,NA,06/22/2024,04:20:46,NA,"$8,857.00",Banorte,Sector Financiero,480
9876,Tarjeta de débito,Spotify 505,06/20/2024,10:32:00,Artículo 4,"$3,411.00",Spotify,Tecnología,591
8765,Fondos de Inversión,NA,06/15/2024,06:23:09,NA,"$3,572.00",Banorte,Sector Financiero,480
7555,Afore,NA,06/18/2024,13:53:10,NA,"$8,690.00",Banorte,Sector Financiero,659
7555,Fondos de Inversión,NA,06/08/2024,13:10:44,NA,"$7,065.00",Banorte,Sector Financiero,659
